#          BLOCK:      ACTUAL_KE:         KE_AVE:          ERROR:
               1         3.00024         3.00024               0
               2         3.00075          3.0005     0.000182242
               3         3.00134         3.00078     0.000259926
               4           3.002         3.00108     0.000328395
               5         3.00273         3.00141      0.00039442
               6         3.00353         3.00176     0.000460108
               7          3.0044         3.00214     0.000526357
               8         3.00534         3.00254     0.000593616
               9         3.00636         3.00297     0.000662131
              10         3.00745         3.00341     0.000732043
              11         3.00861         3.00389     0.000803434
              12         3.00984         3.00438     0.000876352
              13         3.01114          3.0049     0.000950823
              14         3.01252         3.00545      0.00102686
              15         3.01397         3.00601      0.00110446
              16         3.01549         3.00661      0.00118363
              17         3.01709         3.00722      0.00126435
              18         3.01875         3.00786      0.00134662
              19         3.02049         3.00853      0.00143043
              20         3.02231         3.00922      0.00151576
              21         3.02419         3.00993       0.0016026
              22         3.02615         3.01067      0.00169093
              23         3.02819         3.01143      0.00178074
              24          3.0303         3.01222      0.00187201
              25         3.03248         3.01303      0.00196473
              26         3.03473         3.01386      0.00205887
              27         3.03706         3.01472      0.00215442
              28         3.03946          3.0156      0.00225137
              29         3.04193         3.01651       0.0023497
              30         3.04448         3.01744      0.00244939
              31         3.04711          3.0184      0.00255043
              32          3.0498         3.01938       0.0026528
              33         3.05257         3.02039      0.00275649
              34         3.05542         3.02142      0.00286148
              35         3.05833         3.02247      0.00296776
              36         3.06133         3.02355      0.00307531
              37         3.06439         3.02466      0.00318411
              38         3.06753         3.02578      0.00329416
              39         3.07074         3.02694      0.00340542
              40         3.07403         3.02811       0.0035179
              41         3.07739         3.02932      0.00363157
              42         3.08082         3.03054      0.00374642
              43         3.08432         3.03179      0.00386243
              44          3.0879         3.03307      0.00397958
              45         3.09155         3.03437      0.00409787
              46         3.09527         3.03569      0.00421726
              47         3.09907         3.03704      0.00433775
              48         3.10293         3.03841      0.00445931
              49         3.10687         3.03981      0.00458193
              50         3.11088         3.04123      0.00470559
              51         3.11496         3.04268      0.00483026
              52          3.1191         3.04415      0.00495594
              53         3.12332         3.04564       0.0050826
              54         3.12761         3.04716      0.00521021
              55         3.13196          3.0487      0.00533876
              56         3.13639         3.05027      0.00546822
              57         3.14087         3.05186      0.00559857
              58         3.14543         3.05347      0.00572979
              59         3.15005         3.05511      0.00586185
              60         3.15474         3.05677      0.00599473
              61         3.15948         3.05845      0.00612839
              62          3.1643         3.06016      0.00626282
              63         3.16917         3.06189      0.00639797
              64          3.1741         3.06364      0.00653382
              65         3.17909         3.06542      0.00667035
              66         3.18414         3.06722      0.00680751
              67         3.18924         3.06904      0.00694526
              68          3.1944         3.07088      0.00708359
              69         3.19961         3.07275      0.00722244
              70         3.20487         3.07463      0.00736178
              71         3.21019         3.07654      0.00750157
              72         3.21554         3.07847      0.00764176
              73         3.22095         3.08043      0.00778231
              74         3.22639          3.0824      0.00792318
              75         3.23188         3.08439      0.00806431
              76          3.2374          3.0864      0.00820566
              77         3.24296         3.08844      0.00834718
              78         3.24855         3.09049       0.0084888
              79         3.25416         3.09256      0.00863047
              80         3.25981         3.09465      0.00877213
              81         3.26547         3.09676      0.00891371
              82         3.27115         3.09889      0.00905516
              83         3.27685         3.10103       0.0091964
              84         3.28256         3.10319      0.00933737
              85         3.28827         3.10537      0.00947798
              86         3.29398         3.10756      0.00961816
              87         3.29969         3.10977      0.00975782
              88         3.30538           3.112      0.00989689
              89         3.31107         3.11423       0.0100353
              90         3.31673         3.11648       0.0101729
              91         3.32236         3.11874       0.0103096
              92         3.32796         3.12102       0.0104453
              93         3.33352          3.1233         0.01058
              94         3.33903          3.1256       0.0107135
              95         3.34449          3.1279       0.0108456
              96         3.34988         3.13021       0.0109764
              97         3.35519         3.13253       0.0111055
              98         3.36042         3.13486        0.011233
              99         3.36556         3.13719       0.0113587
             100          3.3706         3.13952       0.0114824
             101         3.37552         3.14186       0.0116041
             102         3.38032          3.1442       0.0117234
             103         3.38498         3.14654       0.0118404
             104         3.38949         3.14887       0.0119548
             105         3.39383         3.15121       0.0120664
             106           3.398         3.15353       0.0121751
             107         3.40197         3.15586       0.0122807
             108         3.40573         3.15817        0.012383
             109         3.40927         3.16047       0.0124819
             110         3.41257         3.16276        0.012577
             111          3.4156         3.16504       0.0126683
             112         3.41836          3.1673       0.0127555
             113         3.42081         3.16955       0.0128384
             114         3.42294         3.17177       0.0129168
             115         3.42473         3.17397       0.0129904
             116         3.42616         3.17614       0.0130591
             117         3.42719         3.17829       0.0131225
             118         3.42781          3.1804       0.0131806
             119         3.42798         3.18248        0.013233
             120         3.42769         3.18453       0.0132796
             121          3.4269         3.18653         0.01332
             122         3.42558         3.18849       0.0133542
             123         3.42371          3.1904       0.0133818
             124         3.42125         3.19226       0.0134028
             125         3.41817         3.19407       0.0134169
             126         3.41444         3.19582       0.0134239
             127         3.41002         3.19751       0.0134237
             128         3.40489         3.19913       0.0134163
             129           3.399         3.20068       0.0134014
             130         3.39232         3.20215       0.0133792
             131         3.38482         3.20355       0.0133495
             132         3.37647         3.20486       0.0133125
             133         3.36721         3.20608       0.0132683
             134         3.35704          3.2072        0.013217
             135          3.3459         3.20823        0.013159
             136         3.33377         3.20915       0.0130945
             137         3.32063         3.20997       0.0130242
             138         3.30643         3.21067       0.0129486
             139         3.29116         3.21125       0.0128684
             140          3.2748          3.2117       0.0127845
             141         3.25733         3.21202       0.0126979
             142         3.23874         3.21221       0.0126099
             143         3.21902         3.21226       0.0125218
             144         3.19816         3.21216       0.0124352
             145         3.17618         3.21191       0.0123519
             146         3.15309         3.21151       0.0122739
             147         3.12891         3.21095       0.0122032
             148         3.10367         3.21022       0.0121423
             149         3.07742         3.20933       0.0120935
             150         3.05019         3.20827       0.0120593
             151         3.02207         3.20704       0.0120423
             152         2.99313         3.20563        0.012045
             153         2.96344         3.20405       0.0120699
             154         2.93313         3.20229        0.012119
             155         2.90229         3.20035       0.0121944
             156         2.87106         3.19824       0.0122976
             157         2.83959         3.19596       0.0124296
             158         2.80801          3.1935       0.0125911
             159         2.77651         3.19088       0.0127822
             160         2.74526         3.18809       0.0130022
             161         2.71443         3.18515       0.0132501
             162         2.68423         3.18206       0.0135243
