#          BLOCK:      ACTUAL_TE:         TE_AVE:          ERROR:
               1         1.59703         1.59703               0
               2         1.59702         1.59703     2.02157e-06
               3         1.59702         1.59702     3.13602e-06
               4         1.59701         1.59702     3.42263e-06
               5         1.59701         1.59702     3.28169e-06
               6         1.59701         1.59702     2.90818e-06
               7         1.59701         1.59702      2.5255e-06
               8         1.59703         1.59702     2.49932e-06
               9         1.59704         1.59702     3.39401e-06
              10         1.59706         1.59702     4.57603e-06
              11         1.59708         1.59703     6.12838e-06
              12         1.59709         1.59703     7.64905e-06
              13         1.59712         1.59704     9.46036e-06
              14         1.59715         1.59705     1.14641e-05
              15         1.59718         1.59706      1.3698e-05
              16         1.59722         1.59707     1.60791e-05
              17         1.59725         1.59708      1.8401e-05
              18         1.59729         1.59709     2.09101e-05
              19         1.59733          1.5971     2.34025e-05
              20         1.59737         1.59712     2.58791e-05
              21         1.59742         1.59713     2.83889e-05
              22         1.59746         1.59715     3.08525e-05
              23         1.59751         1.59716     3.32627e-05
              24         1.59755         1.59718     3.55659e-05
              25         1.59759         1.59719     3.77631e-05
              26         1.59763         1.59721     3.98867e-05
              27         1.59767         1.59723     4.19178e-05
              28         1.59771         1.59725     4.38378e-05
              29         1.59775         1.59726     4.56291e-05
              30         1.59778         1.59728     4.72746e-05
              31         1.59781          1.5973     4.87844e-05
              32         1.59784         1.59731     5.01373e-05
              33         1.59786         1.59733     5.12925e-05
              34         1.59788         1.59735     5.22402e-05
              35         1.59788         1.59736     5.29536e-05
              36         1.59789         1.59738     5.34671e-05
              37         1.59789         1.59739     5.37573e-05
              38         1.59788          1.5974     5.38396e-05
              39         1.59786         1.59742     5.37148e-05
              40         1.59783         1.59743     5.33777e-05
              41          1.5978         1.59743     5.28537e-05
              42         1.59776         1.59744      5.2152e-05
              43          1.5977         1.59745     5.12944e-05
              44         1.59764         1.59745     5.03104e-05
              45         1.59757         1.59746     4.92623e-05
              46          1.5975         1.59746     4.81992e-05
              47         1.59742         1.59746     4.71808e-05
              48         1.59733         1.59745     4.62675e-05
