#          BLOCK:       ACTUAL_T:          T_AVE:          ERROR:
               1         1.42442         1.42442               0
               2         1.42433         1.42438     2.99558e-05
               3         1.42426         1.42434     3.87119e-05
               4         1.42418          1.4243     4.47725e-05
               5          1.4241         1.42426     4.97426e-05
               6         1.42403         1.42422      5.4247e-05
               7         1.42395         1.42418     5.86351e-05
               8         1.42387         1.42414     6.31454e-05
               9         1.42378          1.4241     6.79612e-05
              10         1.42368         1.42406     7.32338e-05
              11         1.42357         1.42401     7.90934e-05
              12         1.42344         1.42397     8.56545e-05
              13          1.4233         1.42392     9.30181e-05
              14         1.42315         1.42386     0.000101273
              15         1.42297          1.4238     0.000110498
              16         1.42278         1.42374     0.000120757
              17         1.42256         1.42367     0.000132104
              18         1.42231         1.42359     0.000144584
              19         1.42205         1.42351     0.000158227
              20         1.42175         1.42342     0.000173055
              21         1.42143         1.42333     0.000189078
              22         1.42108         1.42323     0.000206296
              23          1.4207         1.42312     0.000224697
              24         1.42029           1.423     0.000244262
              25         1.41985         1.42287     0.000264957
              26         1.41938         1.42274     0.000286739
              27         1.41889          1.4226     0.000309556
              28         1.41837         1.42244     0.000333342
              29         1.41782         1.42229     0.000358023
              30         1.41724         1.42212     0.000383514
              31         1.41665         1.42194     0.000409718
              32         1.41603         1.42176     0.000436529
              33          1.4154         1.42156     0.000463832
              34         1.41476         1.42136     0.000491503
              35          1.4141         1.42116      0.00051941
              36         1.41344         1.42094     0.000547411
              37         1.41278         1.42072     0.000575361
              38         1.41212         1.42049     0.000603109
              39         1.41147         1.42026     0.000630498
              40         1.41083         1.42003     0.000657371
              41         1.41021         1.41979      0.00068357
              42         1.40961         1.41955     0.000708936
              43         1.40904          1.4193     0.000733314
              44         1.40851         1.41906     0.000756554
              45         1.40802         1.41881     0.000778511
              46         1.40757         1.41857     0.000799048
              47         1.40717         1.41832     0.000818039
              48         1.40682         1.41808     0.000835371
              49         1.40653         1.41785     0.000850941
              50         1.40631         1.41762     0.000864665
              51         1.40615         1.41739     0.000876474
              52         1.40606         1.41717     0.000886317
              53         1.40604         1.41696     0.000894161
              54         1.40609         1.41676     0.000899996
              55         1.40622         1.41657      0.00090383
              56         1.40642         1.41639     0.000905694
              57         1.40669         1.41622      0.00090564
              58         1.40704         1.41606     0.000903741
              59         1.40746         1.41592     0.000900093
              60         1.40796         1.41578     0.000894811
              61         1.40852         1.41566     0.000888033
              62         1.40914         1.41556     0.000879914
              63         1.40983         1.41547     0.000870629
              64         1.41058         1.41539     0.000860371
              65         1.41138         1.41533     0.000849345
              66         1.41223         1.41528     0.000837772
              67         1.41313         1.41525     0.000825885
              68         1.41407         1.41523     0.000813924
              69         1.41504         1.41523     0.000802133
              70         1.41604         1.41524     0.000790758
              71         1.41708         1.41527     0.000780042
              72         1.41813         1.41531      0.00077022
              73          1.4192         1.41536     0.000761513
              74         1.42028         1.41543     0.000754123
              75         1.42138         1.41551     0.000748227
              76         1.42247          1.4156     0.000743973
              77         1.42357          1.4157     0.000741478
              78         1.42466         1.41582     0.000740819
              79         1.42575         1.41594     0.000742036
              80         1.42683         1.41608     0.000745134
              81         1.42789         1.41622     0.000750078
              82         1.42895         1.41638     0.000756806
              83         1.42998         1.41654     0.000765224
              84           1.431         1.41672     0.000775218
              85         1.43199          1.4169     0.000786656
              86         1.43297         1.41708     0.000799398
              87         1.43392         1.41728     0.000813293
              88         1.43484         1.41748     0.000828192
              89         1.43575         1.41768     0.000843948
              90         1.43662         1.41789     0.000860417
              91         1.43748         1.41811     0.000877464
              92          1.4383         1.41833     0.000894961
              93          1.4391         1.41855     0.000912792
              94         1.43988         1.41878      0.00093085
              95         1.44062         1.41901     0.000949036
              96         1.44135         1.41924     0.000967264
              97         1.44205         1.41947     0.000985456
              98         1.44272         1.41971      0.00100354
              99         1.44337         1.41995      0.00102147
             100           1.444         1.42019      0.00103918
             101          1.4446         1.42043      0.00105663
             102         1.44519         1.42068      0.00107378
             103         1.44575         1.42092       0.0010906
             104         1.44629         1.42116      0.00110707
             105         1.44682         1.42141      0.00112316
             106         1.44732         1.42165      0.00113886
             107         1.44781          1.4219      0.00115415
             108         1.44828         1.42214      0.00116904
             109         1.44874         1.42238      0.00118351
             110         1.44918         1.42263      0.00119755
             111         1.44961         1.42287      0.00121118
             112         1.45003         1.42311       0.0012244
             113         1.45043         1.42336      0.00123721
             114         1.45083          1.4236      0.00124961
             115         1.45122         1.42384      0.00126162
             116          1.4516         1.42408      0.00127324
             117         1.45197         1.42431       0.0012845
             118         1.45234         1.42455      0.00129539
             119         1.45271         1.42479      0.00130594
             120         1.45307         1.42502      0.00131615
             121         1.45343         1.42526      0.00132604
             122         1.45379         1.42549      0.00133564
             123         1.45415         1.42573      0.00134494
             124         1.45451         1.42596      0.00135398
             125         1.45487         1.42619      0.00136276
             126         1.45523         1.42642       0.0013713
             127          1.4556         1.42665      0.00137961
             128         1.45597         1.42688      0.00138772
             129         1.45635         1.42711      0.00139564
             130         1.45673         1.42733      0.00140338
             131         1.45712         1.42756      0.00141097
             132         1.45751         1.42779       0.0014184
             133         1.45791         1.42802       0.0014257
             134         1.45832         1.42824      0.00143289
             135         1.45873         1.42847      0.00143996
             136         1.45916         1.42869      0.00144695
             137         1.45958         1.42892      0.00145385
             138         1.46002         1.42914      0.00146068
             139         1.46046         1.42937      0.00146745
             140         1.46092         1.42959      0.00147416
             141         1.46137         1.42982      0.00148084
             142         1.46184         1.43005      0.00148747
             143         1.46231         1.43027      0.00149408
             144         1.46278          1.4305      0.00150067
             145         1.46326         1.43072      0.00150724
             146         1.46375         1.43095      0.00151379
             147         1.46423         1.43118      0.00152033
             148         1.46473          1.4314      0.00152687
             149         1.46522         1.43163       0.0015334
             150         1.46572         1.43186      0.00153992
             151         1.46621         1.43208      0.00154644
             152         1.46671         1.43231      0.00155296
             153         1.46721         1.43254      0.00155946
             154          1.4677         1.43277      0.00156596
             155          1.4682           1.433      0.00157245
             156         1.46869         1.43323      0.00157893
             157         1.46918         1.43345      0.00158539
             158         1.46966         1.43368      0.00159183
             159         1.47014         1.43391      0.00159825
             160         1.47061         1.43414      0.00160463
             161         1.47108         1.43437      0.00161098
             162         1.47154          1.4346      0.00161729
             163         1.47199         1.43483      0.00162356
             164         1.47244         1.43506      0.00162977
             165         1.47287         1.43529      0.00163593
             166          1.4733         1.43552      0.00164202
             167         1.47372         1.43575      0.00164804
             168         1.47413         1.43597      0.00165399
             169         1.47452          1.4362      0.00165986
             170         1.47491         1.43643      0.00166564
             171         1.47528         1.43666      0.00167132
             172         1.47564         1.43688       0.0016769
             173         1.47599         1.43711      0.00168238
             174         1.47633         1.43734      0.00168774
             175         1.47665         1.43756      0.00169299
             176         1.47696         1.43778      0.00169811
             177         1.47726         1.43801       0.0017031
             178         1.47754         1.43823      0.00170795
             179         1.47781         1.43845      0.00171266
             180         1.47806         1.43867      0.00171723
             181          1.4783         1.43889      0.00172164
             182         1.47852         1.43911       0.0017259
             183         1.47873         1.43932      0.00172999
             184         1.47892         1.43954      0.00173392
             185         1.47909         1.43975      0.00173768
             186         1.47924         1.43997      0.00174125
             187         1.47938         1.44018      0.00174465
             188          1.4795         1.44039      0.00174787
             189          1.4796         1.44059      0.00175089
             190         1.47968          1.4408      0.00175372
             191         1.47975           1.441      0.00175636
             192         1.47979          1.4412      0.00175879
             193         1.47981          1.4414      0.00176101
             194         1.47982          1.4416      0.00176303
             195          1.4798          1.4418      0.00176484
             196         1.47976         1.44199      0.00176643
             197         1.47969         1.44218       0.0017678
             198         1.47961         1.44237      0.00176894
             199          1.4795         1.44256      0.00176986
             200         1.47936         1.44274      0.00177055
             201          1.4792         1.44292      0.00177101
             202         1.47902          1.4431      0.00177123
             203         1.47881         1.44328      0.00177122
             204         1.47857         1.44345      0.00177096
             205          1.4783         1.44362      0.00177046
             206           1.478         1.44379      0.00176972
             207         1.47768         1.44395      0.00176872
             208         1.47732         1.44411      0.00176748
             209         1.47693         1.44427      0.00176599
             210         1.47651         1.44442      0.00176424
             211         1.47606         1.44457      0.00176224
             212         1.47557         1.44472      0.00175998
             213         1.47505         1.44486      0.00175747
             214         1.47449           1.445       0.0017547
             215         1.47389         1.44513      0.00175167
             216         1.47326         1.44527       0.0017484
             217         1.47259         1.44539      0.00174487
             218         1.47187         1.44551      0.00174109
             219         1.47112         1.44563      0.00173706
             220         1.47033         1.44574      0.00173279
             221         1.46949         1.44585      0.00172828
             222         1.46862         1.44595      0.00172353
             223          1.4677         1.44605      0.00171856
             224         1.46673         1.44614      0.00171337
             225         1.46573         1.44623      0.00170796
             226         1.46468         1.44631      0.00170235
             227         1.46359         1.44639      0.00169655
             228         1.46245         1.44646      0.00169058
             229         1.46127         1.44652      0.00168443
             230         1.46005         1.44658      0.00167813
             231         1.45879         1.44663       0.0016717
             232         1.45749         1.44668      0.00166515
             233         1.45615         1.44672       0.0016585
             234         1.45477         1.44676      0.00165177
             235         1.45336         1.44678      0.00164498
             236         1.45192          1.4468      0.00163815
             237         1.45044         1.44682      0.00163131
             238         1.44894         1.44683      0.00162448
             239         1.44742         1.44683      0.00161769
             240         1.44587         1.44683      0.00161095
             241         1.44431         1.44682       0.0016043
             242         1.44274          1.4468      0.00159776
             243         1.44116         1.44678      0.00159135
             244         1.43958         1.44675      0.00158511
             245           1.438         1.44671      0.00157904
             246         1.43643         1.44667      0.00157317
             247         1.43488         1.44662      0.00156753
             248         1.43334         1.44657      0.00156212
             249         1.43183         1.44651      0.00155697
             250         1.43035         1.44645      0.00155208
             251         1.42891         1.44638      0.00154747
             252         1.42752          1.4463      0.00154313
             253         1.42617         1.44622      0.00153908
             254         1.42488         1.44614      0.00153532
             255         1.42365         1.44605      0.00153183
             256         1.42248         1.44596      0.00152861
             257         1.42139         1.44586      0.00152564
             258         1.42038         1.44576      0.00152293
             259         1.41944         1.44566      0.00152043
             260         1.41859         1.44556      0.00151815
             261         1.41783         1.44545      0.00151604
             262         1.41716         1.44534      0.00151409
             263         1.41659         1.44523      0.00151228
             264         1.41611         1.44512      0.00151057
             265         1.41573         1.44501      0.00150894
             266         1.41545          1.4449      0.00150735
             267         1.41527         1.44479      0.00150579
             268         1.41519         1.44468      0.00150421
             269          1.4152         1.44457      0.00150261
             270         1.41532         1.44446      0.00150094
             271         1.41553         1.44435       0.0014992
             272         1.41583         1.44425      0.00149735
             273         1.41623         1.44415      0.00149538
             274         1.41671         1.44405      0.00149327
             275         1.41728         1.44395      0.00149101
             276         1.41792         1.44386      0.00148859
             277         1.41865         1.44376      0.00148599
             278         1.41945         1.44368      0.00148322
             279         1.42032         1.44359      0.00148026
             280         1.42125         1.44351      0.00147713
             281         1.42224         1.44344      0.00147381
             282         1.42328         1.44337      0.00147031
             283         1.42438          1.4433      0.00146665
             284         1.42552         1.44324      0.00146282
             285          1.4267         1.44318      0.00145884
             286         1.42792         1.44312      0.00145471
             287         1.42917         1.44308      0.00145046
             288         1.43045         1.44303      0.00144608
             289         1.43175         1.44299       0.0014416
             290         1.43308         1.44296      0.00143704
             291         1.43442         1.44293       0.0014324
             292         1.43578         1.44291       0.0014277
             293         1.43714         1.44289      0.00142297
             294         1.43852         1.44287       0.0014182
             295         1.43989         1.44286      0.00141343
             296         1.44127         1.44286      0.00140867
             297         1.44265         1.44285      0.00140392
             298         1.44403         1.44286      0.00139922
             299          1.4454         1.44287      0.00139456
             300         1.44676         1.44288      0.00138998
             301         1.44811          1.4429      0.00138547
             302         1.44946         1.44292      0.00138105
             303         1.45079         1.44295      0.00137674
             304          1.4521         1.44298      0.00137254
             305          1.4534         1.44301      0.00136846
             306         1.45468         1.44305      0.00136452
             307         1.45595         1.44309      0.00136072
             308         1.45719         1.44314      0.00135708
             309         1.45841         1.44318      0.00135358
             310         1.45961         1.44324      0.00135025
             311         1.46078         1.44329      0.00134709
             312         1.46193         1.44335       0.0013441
             313         1.46306         1.44342      0.00134128
             314         1.46415         1.44348      0.00133863
             315         1.46522         1.44355      0.00133616
             316         1.46626         1.44362      0.00133386
             317         1.46727          1.4437      0.00133174
             318         1.46825         1.44378      0.00132979
             319          1.4692         1.44386        0.001328
             320         1.47012         1.44394      0.00132639
             321           1.471         1.44402      0.00132493
             322         1.47185         1.44411      0.00132363
             323         1.47267          1.4442      0.00132249
             324         1.47346         1.44429      0.00132149
             325         1.47421         1.44438      0.00132062
             326         1.47493         1.44447      0.00131989
             327         1.47561         1.44457      0.00131928
             328         1.47626         1.44466       0.0013188
             329         1.47687         1.44476      0.00131842
             330         1.47745         1.44486      0.00131814
             331           1.478         1.44496      0.00131795
             332         1.47851         1.44506      0.00131785
             333         1.47899         1.44516      0.00131782
             334         1.47944         1.44527      0.00131787
             335         1.47985         1.44537      0.00131797
             336         1.48023         1.44547      0.00131813
             337         1.48058         1.44558      0.00131832
             338         1.48089         1.44568      0.00131856
             339         1.48118         1.44579      0.00131882
             340         1.48143         1.44589       0.0013191
             341         1.48166           1.446      0.00131939
             342         1.48185          1.4461      0.00131969
             343         1.48201         1.44621      0.00131999
             344         1.48215         1.44631      0.00132028
             345         1.48226         1.44642      0.00132056
             346         1.48234         1.44652      0.00132082
             347         1.48239         1.44662      0.00132105
             348         1.48242         1.44673      0.00132126
             349         1.48242         1.44683      0.00132142
             350          1.4824         1.44693      0.00132155
             351         1.48235         1.44703      0.00132163
             352         1.48227         1.44713      0.00132167
             353         1.48218         1.44723      0.00132164
             354         1.48206         1.44733      0.00132157
             355         1.48191         1.44743      0.00132143
             356         1.48174         1.44752      0.00132123
             357         1.48155         1.44762      0.00132096
             358         1.48134         1.44771      0.00132063
             359         1.48111          1.4478      0.00132022
             360         1.48085          1.4479      0.00131974
             361         1.48057         1.44799      0.00131919
             362         1.48027         1.44808      0.00131855
             363         1.47995         1.44816      0.00131784
             364         1.47961         1.44825      0.00131705
             365         1.47925         1.44834      0.00131618
             366         1.47886         1.44842      0.00131522
             367         1.47845          1.4485      0.00131418
             368         1.47803         1.44858      0.00131306
             369         1.47758         1.44866      0.00131185
             370         1.47711         1.44874      0.00131055
             371         1.47662         1.44881      0.00130917
             372         1.47611         1.44888      0.00130771
             373         1.47558         1.44896      0.00130616
             374         1.47503         1.44903      0.00130453
             375         1.47446         1.44909      0.00130281
             376         1.47386         1.44916      0.00130101
             377         1.47325         1.44922      0.00129913
             378         1.47263         1.44929      0.00129717
             379         1.47198         1.44935      0.00129512
             380         1.47132          1.4494      0.00129301
             381         1.47064         1.44946      0.00129081
             382         1.46994         1.44951      0.00128855
             383         1.46923         1.44956      0.00128621
             384         1.46851         1.44961      0.00128381
             385         1.46778         1.44966      0.00128134
             386         1.46704         1.44971      0.00127881
             387         1.46629         1.44975      0.00127622
             388         1.46554         1.44979      0.00127358
             389         1.46479         1.44983      0.00127089
             390         1.46404         1.44986      0.00126816
             391         1.46329          1.4499      0.00126538
             392         1.46255         1.44993      0.00126256
             393         1.46182         1.44996      0.00125971
             394          1.4611         1.44999      0.00125683
             395         1.46039         1.45002      0.00125393
             396         1.45971         1.45004        0.001251
             397         1.45905         1.45006      0.00124805
             398         1.45841         1.45008      0.00124509
             399          1.4578          1.4501      0.00124212
             400         1.45722         1.45012      0.00123914
             401         1.45668         1.45014      0.00123616
             402         1.45617         1.45015      0.00123318
             403          1.4557         1.45017       0.0012302
             404         1.45527         1.45018      0.00122721
             405         1.45488         1.45019      0.00122424
             406         1.45453          1.4502      0.00122127
             407         1.45423         1.45021      0.00121831
             408         1.45396         1.45022      0.00121536
             409         1.45373         1.45023      0.00121242
             410         1.45354         1.45024      0.00120949
             411         1.45339         1.45024      0.00120657
             412         1.45327         1.45025      0.00120366
             413         1.45319         1.45026      0.00120077
             414         1.45313         1.45027      0.00119789
             415         1.45309         1.45027      0.00119502
             416         1.45307         1.45028      0.00119217
             417         1.45307         1.45029      0.00118933
             418         1.45308         1.45029       0.0011865
             419         1.45309          1.4503      0.00118369
             420          1.4531         1.45031      0.00118089
             421         1.45311         1.45031       0.0011781
             422         1.45312         1.45032      0.00117533
             423         1.45311         1.45033      0.00117257
             424         1.45308         1.45033      0.00116982
             425         1.45303         1.45034      0.00116709
             426         1.45295         1.45034      0.00116436
             427         1.45285         1.45035      0.00116165
             428         1.45271         1.45036      0.00115895
             429         1.45255         1.45036      0.00115626
             430         1.45234         1.45037      0.00115358
             431          1.4521         1.45037      0.00115091
             432         1.45182         1.45037      0.00114825
             433          1.4515         1.45038       0.0011456
             434         1.45114         1.45038      0.00114296
             435         1.45074         1.45038      0.00114034
             436         1.45031         1.45038      0.00113772
             437         1.44984         1.45038      0.00113512
             438         1.44934         1.45037      0.00113253
             439          1.4488         1.45037      0.00112996
             440         1.44824         1.45037       0.0011274
             441         1.44766         1.45036      0.00112486
             442         1.44705         1.45035      0.00112234
             443         1.44643         1.45034      0.00111984
             444          1.4458         1.45033      0.00111736
             445         1.44517         1.45032      0.00111491
             446         1.44453         1.45031      0.00111249
             447         1.44389         1.45029      0.00111009
             448         1.44326         1.45028      0.00110773
             449         1.44265         1.45026      0.00110539
             450         1.44205         1.45024      0.00110308
             451         1.44148         1.45022      0.00110081
             452         1.44093          1.4502      0.00109857
             453         1.44041         1.45018      0.00109635
             454         1.43993         1.45016      0.00109417
             455         1.43949         1.45014      0.00109202
             456         1.43909         1.45011      0.00108989
             457         1.43874         1.45009      0.00108779
             458         1.43843         1.45006      0.00108571
             459         1.43816         1.45004      0.00108366
             460         1.43795         1.45001      0.00108162
             461         1.43778         1.44998       0.0010796
             462         1.43767         1.44996      0.00107759
             463          1.4376         1.44993      0.00107559
             464         1.43758          1.4499      0.00107361
             465          1.4376         1.44988      0.00107162
             466         1.43768         1.44985      0.00106964
             467         1.43779         1.44982      0.00106766
             468         1.43795          1.4498      0.00106568
             469         1.43815         1.44977       0.0010637
             470         1.43838         1.44975      0.00106171
             471         1.43865         1.44973      0.00105972
             472         1.43895          1.4497      0.00105772
             473         1.43927         1.44968      0.00105572
             474         1.43963         1.44966       0.0010537
             475         1.44001         1.44964      0.00105168
             476         1.44041         1.44962      0.00104965
             477         1.44082          1.4496      0.00104761
             478         1.44126         1.44958      0.00104556
             479          1.4417         1.44957      0.00104351
             480         1.44216         1.44955      0.00104145
             481         1.44263         1.44954      0.00103939
             482          1.4431         1.44952      0.00103731
             483         1.44358         1.44951      0.00103524
             484         1.44406          1.4495      0.00103316
             485         1.44454         1.44949      0.00103108
             486         1.44502         1.44948        0.001029
             487          1.4455         1.44947      0.00102692
             488         1.44597         1.44947      0.00102484
             489         1.44644         1.44946      0.00102277
             490          1.4469         1.44946      0.00102069
             491         1.44735         1.44945      0.00101862
             492         1.44779         1.44945      0.00101656
             493         1.44823         1.44944       0.0010145
             494         1.44865         1.44944      0.00101245
             495         1.44905         1.44944       0.0010104
             496         1.44944         1.44944      0.00100836
             497         1.44982         1.44944      0.00100633
             498         1.45019         1.44944      0.00100432
             499         1.45053         1.44945       0.0010023
             500         1.45086         1.44945       0.0010003
             501         1.45118         1.44945     0.000998314
             502         1.45147         1.44946     0.000996333
             503         1.45175         1.44946     0.000994363
             504         1.45201         1.44947     0.000992403
             505         1.45225         1.44947     0.000990453
             506         1.45248         1.44948     0.000988513
             507         1.45269         1.44948     0.000986584
             508         1.45287         1.44949     0.000984664
             509         1.45304          1.4495     0.000982754
             510          1.4532         1.44951     0.000980854
             511         1.45334         1.44951     0.000978963
             512         1.45346         1.44952     0.000977082
             513         1.45356         1.44953     0.000975209
             514         1.45365         1.44954     0.000973344
             515         1.45372         1.44954     0.000971488
             516         1.45378         1.44955      0.00096964
             517         1.45383         1.44956       0.0009678
             518         1.45387         1.44957     0.000965968
             519          1.4539         1.44958     0.000964142
             520         1.45391         1.44959     0.000962324
             521         1.45392         1.44959     0.000960513
             522         1.45393          1.4496     0.000958709
             523         1.45393         1.44961     0.000956912
             524         1.45392         1.44962     0.000955121
             525         1.45391         1.44963     0.000953336
             526          1.4539         1.44964     0.000951559
             527         1.45389         1.44964     0.000949787
             528         1.45389         1.44965     0.000948022
             529         1.45388         1.44966     0.000946264
             530         1.45388         1.44967     0.000944512
             531         1.45389         1.44968     0.000942767
             532         1.45391         1.44968     0.000941028
             533         1.45394         1.44969     0.000939297
             534         1.45397          1.4497     0.000937572
             535         1.45402         1.44971     0.000935854
             536         1.45408         1.44972     0.000934144
             537         1.45415         1.44972     0.000932441
             538         1.45424         1.44973     0.000930745
             539         1.45434         1.44974     0.000929058
             540         1.45446         1.44975     0.000927379
             541          1.4546         1.44976     0.000925708
             542         1.45475         1.44977     0.000924046
             543         1.45492         1.44978     0.000922393
             544         1.45511         1.44979     0.000920749
             545         1.45531          1.4498     0.000919115
             546         1.45553         1.44981     0.000917492
             547         1.45577         1.44982     0.000915879
             548         1.45602         1.44983     0.000914278
             549         1.45629         1.44984     0.000912688
             550         1.45657         1.44985     0.000911111
             551         1.45687         1.44987     0.000909546
             552         1.45718         1.44988     0.000907995
             553          1.4575         1.44989     0.000906457
             554         1.45783         1.44991     0.000904934
             555         1.45817         1.44992     0.000903426
             556         1.45853         1.44994     0.000901934
             557         1.45888         1.44995     0.000900457
             558         1.45925         1.44997     0.000898998
             559         1.45962         1.44999     0.000897555
             560            1.46         1.45001     0.000896131
             561         1.46038         1.45002     0.000894724
             562         1.46076         1.45004     0.000893336
             563         1.46114         1.45006     0.000891966
             564         1.46152         1.45008     0.000890616
             565         1.46189          1.4501     0.000889285
             566         1.46227         1.45013     0.000887973
             567         1.46264         1.45015     0.000886681
             568           1.463         1.45017     0.000885409
             569         1.46336         1.45019     0.000884156
             570         1.46371         1.45022     0.000882923
             571         1.46406         1.45024      0.00088171
             572         1.46439         1.45027     0.000880515
             573         1.46472         1.45029     0.000879339
             574         1.46503         1.45032     0.000878182
             575         1.46533         1.45034     0.000877043
             576         1.46562         1.45037     0.000875922
             577          1.4659          1.4504     0.000874817
             578         1.46617         1.45042     0.000873729
             579         1.46642         1.45045     0.000872657
             580         1.46666         1.45048       0.0008716
             581         1.46689         1.45051     0.000870557
             582          1.4671         1.45054     0.000869528
             583          1.4673         1.45057     0.000868512
             584         1.46748         1.45059     0.000867507
             585         1.46765         1.45062     0.000866514
             586          1.4678         1.45065     0.000865531
             587         1.46794         1.45068     0.000864558
             588         1.46807         1.45071     0.000863593
             589         1.46817         1.45074     0.000862635
             590         1.46827         1.45077     0.000861684
             591         1.46835          1.4508      0.00086074
             592         1.46842         1.45083       0.0008598
             593         1.46847         1.45086     0.000858864
             594          1.4685         1.45089     0.000857931
             595         1.46853         1.45092     0.000857001
             596         1.46854         1.45095     0.000856073
             597         1.46853         1.45098     0.000855146
             598         1.46852         1.45101     0.000854218
             599         1.46849         1.45104     0.000853291
             600         1.46845         1.45107     0.000852362
             601         1.46839          1.4511     0.000851431
             602         1.46833         1.45112     0.000850497
             603         1.46825         1.45115     0.000849561
             604         1.46816         1.45118     0.000848621
             605         1.46806         1.45121     0.000847677
             606         1.46795         1.45124     0.000846729
             607         1.46784         1.45126     0.000845775
             608         1.46771         1.45129     0.000844816
             609         1.46757         1.45132     0.000843852
             610         1.46742         1.45134     0.000842882
             611         1.46727         1.45137     0.000841905
             612         1.46711          1.4514     0.000840922
             613         1.46694         1.45142     0.000839932
             614         1.46676         1.45145     0.000838936
             615         1.46658         1.45147     0.000837933
             616         1.46639         1.45149     0.000836922
             617          1.4662         1.45152     0.000835905
             618           1.466         1.45154      0.00083488
             619         1.46579         1.45157     0.000833849
             620         1.46558         1.45159      0.00083281
             621         1.46537         1.45161     0.000831765
             622         1.46515         1.45163     0.000830712
             623         1.46492         1.45165     0.000829653
             624          1.4647         1.45167     0.000828587
             625         1.46447         1.45169     0.000827514
             626         1.46424         1.45171     0.000826434
             627         1.46401         1.45173     0.000825349
             628         1.46377         1.45175     0.000824257
             629         1.46353         1.45177     0.000823159
             630         1.46329         1.45179     0.000822056
             631         1.46305         1.45181     0.000820947
             632         1.46281         1.45183     0.000819832
             633         1.46256         1.45184     0.000818712
             634         1.46231         1.45186     0.000817588
             635         1.46207         1.45187     0.000816458
             636         1.46182         1.45189     0.000815324
             637         1.46157         1.45191     0.000814186
             638         1.46132         1.45192     0.000813043
             639         1.46106         1.45193     0.000811897
             640         1.46081         1.45195     0.000810746
             641         1.46055         1.45196     0.000809593
             642          1.4603         1.45198     0.000808436
             643         1.46004         1.45199     0.000807276
             644         1.45978           1.452     0.000806113
             645         1.45951         1.45201     0.000804947
             646         1.45925         1.45202     0.000803779
             647         1.45898         1.45203     0.000802609
             648         1.45871         1.45204     0.000801436
             649         1.45844         1.45205     0.000800262
             650         1.45816         1.45206     0.000799086
             651         1.45788         1.45207     0.000797908
             652          1.4576         1.45208      0.00079673
             653         1.45731         1.45209      0.00079555
             654         1.45702          1.4521     0.000794369
             655         1.45672          1.4521     0.000793188
             656         1.45642         1.45211     0.000792006
             657         1.45611         1.45212     0.000790824
             658          1.4558         1.45212     0.000789642
             659         1.45548         1.45213      0.00078846
             660         1.45515         1.45213     0.000787279
             661         1.45482         1.45213     0.000786098
             662         1.45448         1.45214     0.000784919
             663         1.45413         1.45214      0.00078374
             664         1.45378         1.45214     0.000782564
             665         1.45342         1.45215      0.00078139
             666         1.45304         1.45215     0.000780217
             667         1.45267         1.45215     0.000779048
             668         1.45228         1.45215     0.000777882
             669         1.45188         1.45215     0.000776719
             670         1.45148         1.45215     0.000775561
             671         1.45107         1.45215     0.000774406
             672         1.45064         1.45214     0.000773257
             673         1.45021         1.45214     0.000772114
             674         1.44977         1.45214     0.000770976
             675         1.44933         1.45213     0.000769845
             676         1.44887         1.45213     0.000768721
             677         1.44841         1.45212     0.000767606
             678         1.44794         1.45212     0.000766498
             679         1.44746         1.45211       0.0007654
             680         1.44698          1.4521     0.000764312
             681         1.44648         1.45209     0.000763234
             682         1.44599         1.45208     0.000762167
             683         1.44549         1.45207     0.000761113
             684         1.44498         1.45206      0.00076007
             685         1.44448         1.45205     0.000759042
             686         1.44397         1.45204     0.000758027
             687         1.44345         1.45203     0.000757026
             688         1.44294         1.45202     0.000756041
             689         1.44243           1.452     0.000755072
             690         1.44193         1.45199     0.000754118
             691         1.44142         1.45197     0.000753182
             692         1.44093         1.45196     0.000752263
             693         1.44044         1.45194     0.000751361
